dataset,command_id,analysis_role,protected_attribute,comparison,group,group_value,metric,estimate,ci_low,ci_high,ci_method,numerator,denominator,selected_family,test_auroc,threshold
sex_cchs,sex_cchs,primary,DHH_SEX,Male vs Female,Male,Male,prevalence,0.1168189306574809,0.11148096069570963,0.12237729166121607,wilson,1560,13354,calibrated_ensemble,0.8064862598851269,0.09909663290446209
sex_cchs,sex_cchs,primary,DHH_SEX,Male vs Female,Male,Male,sensitivity,0.833974358974359,0.8146934136842521,0.8516145385206864,wilson,1301,1560,calibrated_ensemble,0.8064862598851269,0.09909663290446209
sex_cchs,sex_cchs,primary,DHH_SEX,Male vs Female,Male,Male,specificity,0.6293878243174496,0.6206306243860508,0.6380607651069113,wilson,7423,11794,calibrated_ensemble,0.8064862598851269,0.09909663290446209
sex_cchs,sex_cchs,primary,DHH_SEX,Male vs Female,Female,Female,npv,0.9794038501345477,0.9763755131098757,0.9820511318405243,wilson,9463,9662,calibrated_ensemble,0.8064862598851269,0.09909663290446209
sex_cchs,sex_cchs,primary,DHH_SEX,Male vs Female,Female,Female,ppv,0.17667161961367014,0.16774486859944984,0.18596726932157406,wilson,1189,6730,calibrated_ensemble,0.8064862598851269,0.09909663290446209
sex_cchs,sex_cchs,primary,DHH_SEX,Male vs Female,Female,Female,prevalence,0.0846754514397267,0.08051029551486388,0.0890352240488902,wilson,1388,16392,calibrated_ensemble,0.8064862598851269,0.09909663290446209
sex_cchs,sex_cchs,primary,DHH_SEX,Male vs Female,Female,Female,sensitivity,0.8566282420749279,0.8372064999231312,0.8740814084273112,wilson,1189,1388,calibrated_ensemble,0.8064862598851269,0.09909663290446209
sex_cchs,sex_cchs,primary,DHH_SEX,Male vs Female,Female,Female,specificity,0.6306984804052252,0.6229436541232839,0.6383863986202362,wilson,9463,15004,calibrated_ensemble,0.8064862598851269,0.09909663290446209
CDC Diabetes (BRFSS 2015),age_decomposition,primary,age_band,Youngest (18_44) vs Oldest (65_plus),Youngest (18_44),18_44,npv,0.9772644730151813,0.974638197995546,0.9796244764601781,wilson,13454,13767,xgboost,0.8078880623776579,0.16148721982694242
CDC Diabetes (BRFSS 2015),age_decomposition,primary,age_band,Youngest (18_44) vs Oldest (65_plus),Youngest (18_44),18_44,ppv,0.18675179569034317,0.17197724812725956,0.20248523256755685,wilson,468,2506,xgboost,0.8078880623776579,0.16148721982694242
CDC Diabetes (BRFSS 2015),age_decomposition,primary,age_band,Youngest (18_44) vs Oldest (65_plus),Youngest (18_44),18_44,prevalence,0.047993609045658456,0.04481476911429557,0.05138580289361929,wilson,781,16273,xgboost,0.8078880623776579,0.16148721982694242
CDC Diabetes (BRFSS 2015),age_decomposition,primary,age_band,Youngest (18_44) vs Oldest (65_plus),Youngest (18_44),18_44,sensitivity,0.5992317541613317,0.5644578520075456,0.6330342634483628,wilson,468,781,xgboost,0.8078880623776579,0.16148721982694242
CDC Diabetes (BRFSS 2015),age_decomposition,primary,age_band,Youngest (18_44) vs Oldest (65_plus),Youngest (18_44),18_44,specificity,0.8684482313452104,0.8630342804564917,0.8736795037118197,wilson,13454,15492,xgboost,0.8078880623776579,0.16148721982694242
CDC Diabetes (BRFSS 2015),age_decomposition,primary,age_band,Youngest (18_44) vs Oldest (65_plus),Oldest (65_plus),65_plus,npv,0.904354774270875,0.8990773063934034,0.9093840862435973,wilson,11318,12515,xgboost,0.8078880623776579,0.16148721982694242
CDC Diabetes (BRFSS 2015),age_decomposition,primary,age_band,Youngest (18_44) vs Oldest (65_plus),Oldest (65_plus),65_plus,ppv,0.34888452364248634,0.341101812998977,0.3567486637059081,wilson,4973,14254,xgboost,0.8078880623776579,0.16148721982694242
CDC Diabetes (BRFSS 2015),age_decomposition,primary,age_band,Youngest (18_44) vs Oldest (65_plus),Oldest (65_plus),65_plus,prevalence,0.23049049273413277,0.22548432609319655,0.2355739996660157,wilson,6170,26769,xgboost,0.8078880623776579,0.16148721982694242
CDC Diabetes (BRFSS 2015),age_decomposition,primary,age_band,Youngest (18_44) vs Oldest (65_plus),Oldest (65_plus),65_plus,sensitivity,0.8059967585089141,0.795940787977692,0.815671937290002,wilson,4973,6170,xgboost,0.8078880623776579,0.16148721982694242
CDC Diabetes (BRFSS 2015),age_decomposition,primary,age_band,Youngest (18_44) vs Oldest (65_plus),Oldest (65_plus),65_plus,specificity,0.5494441477741638,0.5426409994562649,0.5562288580860257,wilson,11318,20599,xgboost,0.8078880623776579,0.16148721982694242
Diabetes-130 (readmission),age_decomposition,primary,age_band,Youngest (under_30) vs Oldest (60_plus),Youngest (under_30),under_30,npv,0.9499036608863198,0.9302291713705125,0.9683825588995051,patient_cluster_bootstrap,493,519,calibrated_ensemble,0.6529590054791965,0.11718875502008032
Diabetes-130 (readmission),age_decomposition,primary,age_band,Youngest (under_30) vs Oldest (60_plus),Youngest (under_30),under_30,ppv,0.26865671641791045,0.173404753447218,0.3494300117135207,patient_cluster_bootstrap,54,201,calibrated_ensemble,0.6529590054791965,0.11718875502008032
Diabetes-130 (readmission),age_decomposition,primary,age_band,Youngest (under_30) vs Oldest (60_plus),Youngest (under_30),under_30,prevalence,0.1111111111111111,0.07184247818467922,0.15395156777219982,patient_cluster_bootstrap,80,720,calibrated_ensemble,0.6529590054791965,0.11718875502008032
Diabetes-130 (readmission),age_decomposition,primary,age_band,Youngest (under_30) vs Oldest (60_plus),Youngest (under_30),under_30,sensitivity,0.675,0.5,0.8046922637195122,patient_cluster_bootstrap,54,80,calibrated_ensemble,0.6529590054791965,0.11718875502008032
Diabetes-130 (readmission),age_decomposition,primary,age_band,Youngest (under_30) vs Oldest (60_plus),Youngest (under_30),under_30,specificity,0.7703125,0.7232047947131609,0.8223677882132856,patient_cluster_bootstrap,493,640,calibrated_ensemble,0.6529590054791965,0.11718875502008032
