dataset,command_id,analysis_role,protected_attribute,comparison,group,group_value,metric,estimate,ci_low,ci_high,ci_method,numerator,denominator,selected_family,test_auroc,threshold
CCHS 2019-20 (diabetes),age_decomposition,primary,age_band,Youngest (18_34) vs Oldest (65_plus),Youngest (18_34),18_34,npv,0.9974770642201835,0.9954876561274991,0.9985906212195247,wilson,4349,4360,l1_logistic_regression,0.7490787734244737,0.13037588115083465
CCHS 2019-20 (diabetes),age_decomposition,primary,age_band,Youngest (18_34) vs Oldest (65_plus),Youngest (18_34),18_34,ppv,0.0196078431372549,0.007650879122415393,0.04932263755651539,wilson,4,204,l1_logistic_regression,0.7490787734244737,0.13037588115083465
CCHS 2019-20 (diabetes),age_decomposition,primary,age_band,Youngest (18_34) vs Oldest (65_plus),Youngest (18_34),18_34,prevalence,0.003286590709903593,0.0019927776354706924,0.005415854893870893,wilson,15,4564,l1_logistic_regression,0.7490787734244737,0.13037588115083465
CCHS 2019-20 (diabetes),age_decomposition,primary,age_band,Youngest (18_34) vs Oldest (65_plus),Youngest (18_34),18_34,sensitivity,0.26666666666666666,0.10897453325692372,0.5195043405598055,wilson,4,15,l1_logistic_regression,0.7490787734244737,0.13037588115083465
CCHS 2019-20 (diabetes),age_decomposition,primary,age_band,Youngest (18_34) vs Oldest (65_plus),Youngest (18_34),18_34,specificity,0.956034293251264,0.9496818386388061,0.9616171902262799,wilson,4349,4549,l1_logistic_regression,0.7490787734244737,0.13037588115083465
CCHS 2019-20 (diabetes),age_decomposition,primary,age_band,Youngest (18_34) vs Oldest (65_plus),Oldest (65_plus),65_plus,npv,0.9058752997601919,0.8986332918342865,0.9126502045471196,wilson,6044,6672,l1_logistic_regression,0.7490787734244737,0.13037588115083465
CCHS 2019-20 (diabetes),age_decomposition,primary,age_band,Youngest (18_34) vs Oldest (65_plus),Oldest (65_plus),65_plus,ppv,0.2409476376362902,0.23135832579524632,0.25080471759479955,wilson,1790,7429,l1_logistic_regression,0.7490787734244737,0.13037588115083465
CCHS 2019-20 (diabetes),age_decomposition,primary,age_band,Youngest (18_34) vs Oldest (65_plus),Oldest (65_plus),65_plus,prevalence,0.17147720019856746,0.16534561433025907,0.1777877326804596,wilson,2418,14101,l1_logistic_regression,0.7490787734244737,0.13037588115083465
CCHS 2019-20 (diabetes),age_decomposition,primary,age_band,Youngest (18_34) vs Oldest (65_plus),Oldest (65_plus),65_plus,sensitivity,0.7402812241521919,0.7224326798867268,0.7573675133785379,wilson,1790,2418,l1_logistic_regression,0.7490787734244737,0.13037588115083465
CCHS 2019-20 (diabetes),age_decomposition,primary,age_band,Youngest (18_34) vs Oldest (65_plus),Oldest (65_plus),65_plus,specificity,0.5173328768295814,0.5082675904535499,0.526386768590084,wilson,6044,11683,l1_logistic_regression,0.7490787734244737,0.13037588115083465
Diabetes-130 (readmission),race_decomposition,primary,race_group,AfricanAmerican vs Caucasian,AfricanAmerican,AfricanAmerican,npv,0.923054587688734,0.9141487245868519,0.9323119189993996,patient_cluster_bootstrap,3179,3444,xgboost,0.6682631087301065,0.11197195811770369
Diabetes-130 (readmission),race_decomposition,primary,race_group,AfricanAmerican vs Caucasian,AfricanAmerican,AfricanAmerican,ppv,0.17210944395410416,0.15317784955704422,0.19112565797989386,patient_cluster_bootstrap,390,2266,xgboost,0.6682631087301065,0.11197195811770369
Diabetes-130 (readmission),race_decomposition,primary,race_group,AfricanAmerican vs Caucasian,AfricanAmerican,AfricanAmerican,prevalence,0.11471103327495621,0.10484767744237482,0.12479692728042201,patient_cluster_bootstrap,655,5710,xgboost,0.6682631087301065,0.11197195811770369
Diabetes-130 (readmission),race_decomposition,primary,race_group,AfricanAmerican vs Caucasian,AfricanAmerican,AfricanAmerican,sensitivity,0.5954198473282443,0.553858779329789,0.6366682030513635,patient_cluster_bootstrap,390,655,xgboost,0.6682631087301065,0.11197195811770369
Diabetes-130 (readmission),race_decomposition,primary,race_group,AfricanAmerican vs Caucasian,AfricanAmerican,AfricanAmerican,specificity,0.6288822947576657,0.6134879763557387,0.6445256484643093,patient_cluster_bootstrap,3179,5055,xgboost,0.6682631087301065,0.11197195811770369
Diabetes-130 (readmission),race_decomposition,primary,race_group,AfricanAmerican vs Caucasian,Caucasian,Caucasian,npv,0.9279050675423539,0.9236037051825433,0.932081821309693,patient_cluster_bootstrap,12433,13399,xgboost,0.6682631087301065,0.11197195811770369
Diabetes-130 (readmission),race_decomposition,primary,race_group,AfricanAmerican vs Caucasian,Caucasian,Caucasian,ppv,0.17300575657894737,0.16356531512104186,0.18238072470187122,patient_cluster_bootstrap,1683,9728,xgboost,0.6682631087301065,0.11197195811770369
Diabetes-130 (readmission),race_decomposition,primary,race_group,AfricanAmerican vs Caucasian,Caucasian,Caucasian,prevalence,0.11454144506421066,0.10934948221783984,0.11950743021103293,patient_cluster_bootstrap,2649,23127,xgboost,0.6682631087301065,0.11197195811770369
Diabetes-130 (readmission),race_decomposition,primary,race_group,AfricanAmerican vs Caucasian,Caucasian,Caucasian,sensitivity,0.6353340883352209,0.613303207305109,0.6569727316889044,patient_cluster_bootstrap,1683,2649,xgboost,0.6682631087301065,0.11197195811770369
Diabetes-130 (readmission),race_decomposition,primary,race_group,AfricanAmerican vs Caucasian,Caucasian,Caucasian,specificity,0.6071393690790117,0.5990557618047294,0.6151468349790582,patient_cluster_bootstrap,12433,20478,xgboost,0.6682631087301065,0.11197195811770369
BRFSS 2022 (heart disease),race_decomposition,primary,race,Black vs White,Black,Black,npv,0.9769083688777761,0.9730598335196123,0.980218298751341,wilson,6642,6799,xgboost,0.8278294146761754,0.09560305430185359
BRFSS 2022 (heart disease),race_decomposition,primary,race,Black vs White,Black,Black,ppv,0.17222074113569716,0.16047461536131463,0.18463754797025972,wilson,646,3751,xgboost,0.8278294146761754,0.09560305430185359
BRFSS 2022 (heart disease),race_decomposition,primary,race,Black vs White,Black,Black,prevalence,0.07611374407582938,0.07120646051891236,0.08132960562364089,wilson,803,10550,xgboost,0.8278294146761754,0.09560305430185359
