dataset,threshold,sensitivity_A,sensitivity_B,sensitivity_gap,specificity_A,specificity_B,specificity_gap,fnr_A,fnr_B,fnr_gap,fpr_A,fpr_B,fpr_gap,ppv_A,ppv_B,ppv_gap,npv_A,npv_B,npv_gap,predicted_positive_rate_A,predicted_positive_rate_B,predicted_positive_rate_gap,disparate_impact_ratio
BRFSS 2022 (heart disease),0.72,0.0030224525043177895,0.005023106288929074,-0.002000653784611284,0.9999091503743005,0.9998463264333902,6.282394091028376e-05,0.9969775474956822,0.9949768937110709,0.0020006537846113392,9.084962569949617e-05,0.00015367356660977993,-6.282394091028376e-05,0.8076923076923077,0.7142857142857143,0.09340659340659341,0.8881984570192711,0.9292722987931158,-0.041073841773844655,0.00041946308724832214,0.0004996431120628123,-8.018002481449015e-05,0.8395254074784275
BRFSS 2022 (heart disease),0.73,0.002446747265400115,0.004420333534257585,-0.0019735862688574695,0.9999091503743005,0.9998770611467122,3.208922758834998e-05,0.9975532527345999,0.9955796664657424,0.0019735862688575745,9.084962569949617e-05,0.00012293885328784615,-3.208922758834998e-05,0.7727272727272727,0.7333333333333333,0.039393939393939426,0.8881411187502017,0.9292345044273065,-0.04109338567710474,0.00035493030459473414,0.00042826552462526765,-7.333522003053351e-05,0.8287622612287042
BRFSS 2022 (heart disease),0.74,0.002158894645941278,0.003817560779586096,-0.001658666133644818,0.9999454902245802,0.9999077958600341,3.769436454614805e-05,0.9978411053540587,0.9961824392204139,0.0016586661336447373,5.450977541976432e-05,9.220413996591237e-05,-3.769436454614805e-05,0.8333333333333334,0.76,0.07333333333333336,0.8881160636478068,0.9291967154587647,-0.04108065181095788,0.0002903975219411461,0.00035688793718772306,-6.649041524657697e-05,0.8136938564790913
BRFSS 2022 (heart disease),0.75,0.001871042026482441,0.00341571227647177,-0.0015446702499893289,0.9999454902245802,0.9999692652866781,-2.3775062097830535e-05,0.9981289579735175,0.9965842877235283,0.0015446702499892773,5.450977541976432e-05,3.073471332193378e-05,2.3775062097830535e-05,0.8125,0.8947368421052632,-0.08223684210526316,0.8880873999483604,0.9291742228441691,-0.04108682289580867,0.0002581311306143521,0.0002712348322626695,-1.3103701648317396e-05,0.9516887210281771
BRFSS 2022 (heart disease),0.76,0.001871042026482441,0.0032147880249146074,-0.0013437459984321663,0.9999636601497202,0.9999692652866781,-5.605136957909096e-06,0.9981289579735175,0.9967852119750854,0.001343745998432122,3.633985027984288e-05,3.073471332193378e-05,5.605136957909096e-06,0.8666666666666667,0.8888888888888888,-0.022222222222222143,0.8880892058932692,0.9291609549920037,-0.041071749098734456,0.0002419979349509551,0.0002569593147751606,-1.4961379824205502e-05,0.9417752968508003
BRFSS 2022 (heart disease),0.77,0.0017271157167530224,0.0032147880249146074,-0.001487672308161585,0.9999636601497202,1.0,-3.633985027984288e-05,0.998272884283247,0.9967852119750854,0.0014876723081616028,3.633985027984288e-05,0.0,3.633985027984288e-05,0.8571428571428571,1.0,-0.1428571428571429,0.8880748749394869,0.929162977982123,-0.041088103042636104,0.00022586473928755808,0.00022840827980014276,-2.5435405125846745e-06,0.9888640616933402
BRFSS 2022 (heart disease),0.78,0.0017271157167530224,0.0032147880249146074,-0.001487672308161585,0.9999636601497202,1.0,-3.633985027984288e-05,0.998272884283247,0.9967852119750854,0.0014876723081616028,3.633985027984288e-05,0.0,3.633985027984288e-05,0.8571428571428571,1.0,-0.1428571428571429,0.8880748749394869,0.929162977982123,-0.041088103042636104,0.00022586473928755808,0.00022840827980014276,-2.5435405125846745e-06,0.9888640616933402
BRFSS 2022 (heart disease),0.79,0.0015831894070236039,0.0026120152702431183,-0.0010288258632195145,0.9999636601497202,1.0,-3.633985027984288e-05,0.9984168105929764,0.9973879847297569,0.0010288258632195069,3.633985027984288e-05,0.0,3.633985027984288e-05,0.8461538461538461,1.0,-0.15384615384615385,0.8880605444482097,0.9291231777489042,-0.041062633300694484,0.00020973154362416107,0.00018558172733761598,2.4149816286545087e-05,1.1301303562209604
BRFSS 2022 (heart disease),0.8,0.0012953367875647669,0.0024110910186859553,-0.0011157542311211884,0.9999818300748601,1.0,-1.816992513992144e-05,0.9987046632124352,0.997588908981314,0.001115754231121202,1.816992513992144e-05,0.0,1.816992513992144e-05,0.9,1.0,-0.09999999999999998,0.8880336915480685,0.9291099117621863,-0.04107622021411772,0.00016133195663397006,0.00017130620985010707,-9.97425321613702e-06,0.9417752968508002
BRFSS 2022 (heart disease),0.81,0.0012953367875647669,0.0020092425155716293,-0.0007139057280068624,0.9999818300748601,1.0,-1.816992513992144e-05,0.9987046632124352,0.9979907574844283,0.0007139057280068917,1.816992513992144e-05,0.0,1.816992513992144e-05,0.9,1.0,-0.09999999999999998,0.8880336915480685,0.9290833809251856,-0.04104968937711706,0.00016133195663397006,0.00014275517487508923,1.8576781758880822e-05,1.1301303562209601
BRFSS 2022 (heart disease),0.82,0.0011514104778353484,0.0016073940124573037,-0.0004559835346219553,0.9999818300748601,1.0,-1.816992513992144e-05,0.9988485895221646,0.9983926059875426,0.00045598353462195096,1.816992513992144e-05,0.0,1.816992513992144e-05,0.8888888888888888,1.0,-0.11111111111111116,0.8880193626462283,0.9290568516033237,-0.04103748895709547,0.00014519876097057304,0.00011420413990007138,3.099462107050166e-05,1.27139665074858
BRFSS 2022 (heart disease),0.83,0.0010074841681059297,0.0012055455093429777,-0.00019806134123704798,0.9999818300748601,1.0,-1.816992513992144e-05,0.9989925158318941,0.9987944544906571,0.00019806134123701025,1.816992513992144e-05,0.0,1.816992513992144e-05,0.875,1.0,-0.125,0.8880050342067898,0.9290303237964708,-0.04102528958968099,0.00012906556530717606,8.565310492505354e-05,4.341246038212252e-05,1.5068404749612803
BRFSS 2022 (heart disease),0.84,0.0010074841681059297,0.0010046212577858146,2.8629103201150384e-06,0.9999818300748601,1.0,-1.816992513992144e-05,0.9989925158318941,0.9989953787422142,-2.8629103201449624e-06,1.816992513992144e-05,0.0,1.816992513992144e-05,0.875,1.0,-0.125,0.8880050342067898,0.9290170604611321,-0.041012026254342304,0.00012906556530717606,7.137758743754462e-05,5.768797786963144e-05,1.8082085699535364
BRFSS 2022 (heart disease),0.85,0.0008635578583765112,0.0008036970062286518,5.986085214785934e-05,0.9999818300748601,1.0,-1.816992513992144e-05,0.9991364421416234,0.9991963029937714,-5.9860852147930466e-05,1.816992513992144e-05,0.0,1.816992513992144e-05,0.8571428571428571,1.0,-0.1428571428571429,0.8879907062297304,0.929003797504497,-0.0410130912747666,0.00011293236964377904,5.710206995003569e-05,5.583029969374335e-05,1.9777281233866804
BRFSS 2022 (heart disease),0.86,0.0008635578583765112,0.0008036970062286518,5.986085214785934e-05,0.9999818300748601,1.0,-1.816992513992144e-05,0.9991364421416234,0.9991963029937714,-5.9860852147930466e-05,1.816992513992144e-05,0.0,1.816992513992144e-05,0.8571428571428571,1.0,-0.1428571428571429,0.8879907062297304,0.929003797504497,-0.0410130912747666,0.00011293236964377904,5.710206995003569e-05,5.583029969374335e-05,1.9777281233866804
BRFSS 2022 (heart disease),0.87,0.0007196315486470927,0.0008036970062286518,-8.406545758155915e-05,0.9999818300748601,1.0,-1.816992513992144e-05,0.9992803684513529,0.9991963029937714,8.406545758155026e-05,1.816992513992144e-05,0.0,1.816992513992144e-05,0.8333333333333334,1.0,-0.16666666666666663,0.8879763787150279,0.929003797504497,-0.04102741878946914,9.679917398038203e-05,5.710206995003569e-05,3.969710403034634e-05,1.6951955343314402
BRFSS 2022 (heart disease),0.88,0.0007196315486470927,0.0008036970062286518,-8.406545758155915e-05,0.9999818300748601,1.0,-1.816992513992144e-05,0.9992803684513529,0.9991963029937714,8.406545758155026e-05,1.816992513992144e-05,0.0,1.816992513992144e-05,0.8333333333333334,1.0,-0.16666666666666663,0.8879763787150279,0.929003797504497,-0.04102741878946914,9.679917398038203e-05,5.710206995003569e-05,3.969710403034634e-05,1.6951955343314402
